Name,Date,High,Low,Open,Close,Volume,Marketcap
Polkadot,2024-04-14,7.322461551803103,5.830094854120845,7.24134361581283,6.45243595246527,1414697472.4216027,6883850080.250871
Polkadot,2024-04-13,8.485888628235271,6.637766490619311,8.398041109310569,7.236212193512884,728838413.1219512,7936689677.299651
Polkadot,2024-04-12,8.517426855074367,8.201844689305608,8.39078360718909,8.38154697909917,647681237.6864111,8250477893.090592
Polkadot,2024-04-11,8.689573388581724,8.192059317730914,8.648201734148998,8.415370785390135,736863307.027972,8330455024.853147
Polkadot,2024-04-10,9.09591787632569,8.642528051573796,9.03971950802986,8.667247026858064,640497159.0383276,8796044583.094076
Polkadot,2024-04-09,9.09160109728606,8.590285331501114,8.682289311207322,9.045171852654684,437955774.36585367,8771588747.602787
Polkadot,2024-04-08,8.732121919305188,8.46849937924977,8.477177931364604,8.705310895393618,339337062.912892,8522388866.867596
Polkadot,2024-04-07,8.5504224786525,8.343834859904632,8.36819389350684,8.494428111539193,373786571.14634144,8325819074.54007
Polkadot,2024-04-06,8.506725788132796,8.099075783044535,8.481241484870052,8.401253190191255,517475025.3937282,8233614488.069686
Polkadot,2024-04-05,8.708705420108386,8.285692792867755,8.426798410836518,8.488687993434496,490125228.1964912,8394675944.28772
Polkadot,2024-04-04,8.761641454597441,8.301863921177661,8.5900219806949,8.4437917605446,609195217.3797909,8481648652.815331
Polkadot,2024-04-03,9.136753399221496,8.395856091011277,9.136753399221496,8.578881323343616,719693467.8222996,8562600979.094077
Polkadot,2024-04-02,9.72377626342395,8.941165263355474,9.647216761290204,9.165767564150697,530099816.010453,9181675283.369335
Polkadot,2024-04-01,9.64243927045541,9.430779973305697,9.430779973305697,9.64243927045541,342977346.4250871,9434494110.6446
Polkadot,2024-03-31,9.689075673484922,9.39999081553885,9.592680644656085,9.447312836043348,496253899.85714287,9428973676.20906
Polkadot,2024-03-30,9.791322433750056,9.367558108498203,9.50467269476442,9.590966449591823,573235380.5524476,9400530103.125874
Polkadot,2024-03-29,9.639577724949923,9.30746799762481,9.423797736944683,9.510981835383964,641907947.3881118,9384890515.1993
Polkadot,2024-03-28,9.784883285704202,9.329590190898337,9.690968052630389,9.44739213391913,771555404.6480836,9443022423.247389
Polkadot,2024-03-27,10.0458,9.543960503619823,9.723264066334412,9.69285201147376,695140531.5470383,9700981719.986065
Polkadot,2024-03-26,9.814137961794929,9.30875747443578,9.347019252072425,9.727501619803917,513774207.28571427,9440388909.139372
Polkadot,2024-03-25,9.43118919148303,8.97876866269604,9.001581711642668,9.37487670729188,415008193.5818815,9059303154.59582
Polkadot,2024-03-24,9.204216222368242,8.887846484483232,8.915346680485152,9.008003915510324,599819858.9163764,8964112539.216028
Polkadot,2024-03-23,9.353741345870167,8.72323074317137,9.144677487485186,8.909689407939046,752422967.4090909,8932500707.423077
Polkadot,2024-03-22,9.580082083223411,9.080710225659343,9.45093360741636,9.182124326811056,1026220240.0731708,9239165565.017422
Polkadot,2024-03-21,9.545142002900052,8.53468902397134,8.76431207610648,9.489370245472166,1233655964.672474,8946949414.23345
Polkadot,2024-03-20,9.972064437940086,8.628256365181576,9.912103203411997,8.774940081780032,1381145926.4216027,9044703860.344948
